reef_no,replicate,perimeter_m,area_m2,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
20,1,145,1551,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,2,145,1525,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,3,146,1593,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,1,144,1564,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,2,147,1692,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,3,149,1731,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,1,139,1442,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,2,137,1411,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,3,139,1461,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,1,147,1635,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,2,150,1705,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,3,142,1558,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,1,160,1673.116339,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,2,160,1673.116339,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,3,150,1696.273383,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,1,120,1650.11845,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,2,120,1719.589583,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,3,130,1766.699446,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,1,160,1537.516328,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,2,150,1493.589563,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,3,150,1537.516328,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,1,200,1719.589583,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,2,210,1790.49311,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,3,170,1604.600136,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,1,115,1005,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,2,116,1024,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,3,115,891,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,1,112,956,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,2,108,895,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,3,114,996,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,1,104,827,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,2,107,866,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,3,103,812,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,1,111,958,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,2,112,965,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,3,113,980,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,1,120,1673.116339,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,2,110,1673.116339,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,3,110,1696.273383,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,1,110,1650.11845,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,2,110,1719.589583,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,3,110,1766.699446,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,1,110,1537.516328,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,2,110,1493.589563,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,3,100,1537.516328,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,1,130,1719.589583,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,2,110,1790.49311,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,3,110,1604.600136,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
