reef_no,replicate,perimeter_m,area_m2,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
20,1,146,1696.273383,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,2,144,1650.11845,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,3,142,1604.600136,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,1,151,1814.445929,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,2,152,1838.557903,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,3,146,1696.273383,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,1,138,1515.473368,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,2,128,1303.797294,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,3,137,1493.589563,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,1,154,1887.259315,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,2,151,1814.445929,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,3,151,1814.445929,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,1,162.02,2088.946857,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,2,165.34,2175.434454,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,3,170.72,2319.310746,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,1,121.65,1177.644919,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,2,120.91,1163.361208,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,3,118.89,1124.814199,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,1,120.97,1164.5161,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,2,111.61,991.2800189,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,3,109.28,950.3235872,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,1,188.69,2833.26962,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,2,182.73,2657.1119,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,3,174.5,2423.153903,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,1,120,1145.91559,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,2,121,1165.093761,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,3,117,1089.336008,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,1,123,1203.927567,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,2,125,1243.397993,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,3,116,1070.794457,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,1,106,894.1324703,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,2,111,980.4740269,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,3,110,962.8874057,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,1,141,1582.079712,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,2,127,1283.505039,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,3,131,1365.628989,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,1,149.2,1771.445446,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,2,150.49,1802.210105,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,3,137.59,1506.481758,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,1,100.87,809.6814277,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,2,104.99,877.1745191,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,3,93.84,700.7548854,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,1,131.35,1372.935992,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,2,123.59,1215.505142,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,3,115.84,1067.842579,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,1,132.46,1396.238591,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,2,142.04,1605.504264,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,3,139.72,1553.485807,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
