reef_no,replicate,perimeter_m,area_m2,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
20,1,143.33,1634.798903,NA,20210604,field,boat,NA,NA,transect tape,"AIG, ZR, FZ",
20,1,142,1604.600136,0.15,20130115,imagery,GE,aerial,unknown,unknown,FZ,
20,2,139,1537.516328,0.15,20130115,imagery,GE,aerial,unknown,unknown,FZ,
20,3,142,1604.600136,0.15,20130115,imagery,GE,aerial,unknown,unknown,FZ,
20,1,124,1223.583202,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,FZ,
20,2,127,1283.505039,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,FZ,
20,3,124,1223.583202,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,FZ,
20,1,125,1243.397993,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,FZ,
20,2,131,1365.628989,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,FZ,
20,3,130,1344.859269,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,FZ,
20,1,127,1283.505039,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),FZ,
20,2,133,1407.645894,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),FZ,
20,3,135,1450.299419,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),FZ,
20,1,150,1790.49311,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),FZ,
20,2,130,1344.859269,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),FZ,
20,3,140,1559.718442,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),FZ,
20,1,120,1145.91559,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,FZ,
20,2,130,1344.859269,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,FZ,
20,3,120,1145.91559,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,FZ,
20,1,130,1344.859269,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,FZ,
20,2,150,1790.49311,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,FZ,
20,3,140,1559.718442,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,FZ,
20,1,200,3183.098862,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,FZ,
20,2,170,2299.788928,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,FZ,
20,3,170,2299.788928,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,FZ,
22,1,114.25,1038.72971,NA,20210604,field,boat,NA,NA,transect tape,"AIG, ZR, FZ",
22,1,107,911.0824717,0.15,20130115,imagery,GE,aerial,unknown,unknown,FZ,
22,2,113,1016.124734,0.15,20130115,imagery,GE,aerial,unknown,unknown,FZ,
22,3,110,962.8874057,0.15,20130115,imagery,GE,aerial,unknown,unknown,FZ,
22,1,99,779.9387986,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,FZ,
22,2,92,673.5437192,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,FZ,
22,3,103,844.2373956,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,FZ,
22,1,103,844.2373956,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,FZ,
22,2,105,877.3416238,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,FZ,
22,3,107,911.0824717,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,FZ,
22,1,104,860.7099322,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,FZ,
22,2,99,779.9387986,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,FZ,
22,3,108,928.1916281,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,FZ,
22,1,120,1145.91559,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),FZ,
22,2,110,962.8874057,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),FZ,
22,3,110,962.8874057,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),FZ,
22,1,100,795.7747155,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,FZ,
22,2,100,795.7747155,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,FZ,
22,3,90,644.5775195,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,FZ,
22,1,90,644.5775195,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,FZ,
22,2,110,962.8874057,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,FZ,
22,3,110,962.8874057,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,FZ,
22,1,130,1344.859269,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,FZ,
22,2,90,644.5775195,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,FZ,
22,3,90,644.5775195,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,FZ,
