reef_no,replicate,perimeter_m,area_m2,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
20,1,148,1732,0.15,20130115,imagery,GE,aerial,unknown,unknown,ZR,
20,2,148,1733,0.15,20130115,imagery,GE,aerial,unknown,unknown,ZR,
20,3,148,1704,0.15,20130115,imagery,GE,aerial,unknown,unknown,ZR,
20,1,127,1270,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,ZR,
20,2,126,1247,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,ZR,
20,3,138,1497,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,ZR,
20,1,135,1442,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,ZR,
20,2,137,1471,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,ZR,
20,3,137,1459,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,ZR,
20,1,141,1558,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),ZR,
20,2,146,1672,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),ZR,
20,3,146,1659,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),ZR,
20,1,177,2493.082606,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ZR,
20,2,172,2354.219918,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ZR,
20,3,179,2549.741766,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ZR,
20,1,128,1303.797294,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ZR,
20,2,121,1165.093761,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ZR,
20,3,132,1386.557864,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ZR,
20,1,145,1673.116339,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ZR,
20,2,158,1986.572,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ZR,
20,3,153,1862.829031,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ZR,
20,1,233,4320.181353,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ZR,
20,2,245,4776.63773,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ZR,
20,3,238,4507.586298,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ZR,
22,1,122,1157,0.15,20130115,imagery,GE,aerial,unknown,unknown,ZR,
22,2,121,1133,0.15,20130115,imagery,GE,aerial,unknown,unknown,ZR,
22,3,118,1087,0.15,20130115,imagery,GE,aerial,unknown,unknown,ZR,
22,1,99.3,772,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,ZR,
22,2,104,839,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,ZR,
22,3,107,884,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,ZR,
22,1,117,1073,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,ZR,
22,2,113,991,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,ZR,
22,3,115,1028,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,ZR,
22,1,119,1109,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,ZR,
22,2,121,1143,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,ZR,
22,3,110,928,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,ZR,
22,1,98,764.2620367,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ZR,
22,2,111,980.4740269,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ZR,
22,3,104,860.7099322,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ZR,
22,1,88,616.2479397,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ZR,
22,2,93,688.2655514,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ZR,
22,3,103,844.2373956,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ZR,
22,1,166,2192.836806,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ZR,
22,2,139,1537.516328,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ZR,
22,3,146,1696.273383,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ZR,
22,1,189,2842.586861,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ZR,
22,2,193,2964.181238,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ZR,
22,3,174,2409.287529,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ZR,
20,1,130,1344.9,0.15,20130115,imagery,GE,aerial,unknown,unknown,nic,
20,2,131,1365.6,0.15,20130115,imagery,GE,aerial,unknown,unknown,nic,
20,3,132,1386.6,0.15,20130115,imagery,GE,aerial,unknown,unknown,nic,
20,1,126,1263.4,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,nic,
20,2,117,1089.3,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,nic,
20,3,130,1344.9,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,nic,
20,1,124,1223.6,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,nic,
