reef_no,replicate,perimeter_m,area_m2,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
20,1,148,1672,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,2,144,1564,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,3,147,1649,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,1,138,1437,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,2,137,1461,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,3,136,1416,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,1,140,1508,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,2,147,1659,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,3,141,1513,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,1,142,1560,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,2,140,1517,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,3,140,1481,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,1,157,1961.505096,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,2,146,1696.273383,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,3,149,1766.699446,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,1,144,1650.11845,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,2,138,1515.473368,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,3,126,1263.371938,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,1,173,2381.674146,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,2,127,1283.505039,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,3,151,1814.445929,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,1,161,2062.72764,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,2,211,3542.868611,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,3,204,3311.696056,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,1,130,1295,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,2,125,1184,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,3,124,1183,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,1,111,952,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,2,115,1019,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,3,113,963,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,1,117,1027,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,2,113,990,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,3,115,1027,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,1,115,1015,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,2,110,895,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,3,109,897,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,1,123,1203.927567,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,2,133,1407.645894,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,3,120,1145.91559,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,1,96,733.3859778,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,2,109,945.4599394,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,3,93,688.2655514,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,1,170,2299.788928,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,2,181,2607.037545,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,3,140,1559.718442,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,1,346,9526.696584,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,2,240,4583.662361,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,3,217,3747.223558,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
